,neighborhood,year,tree_count,species_count
526,Nob Hill,2003.0,68,21
527,Nob Hill,2004.0,28,15
528,Nob Hill,2005.0,87,26
529,Nob Hill,2006.0,45,18
530,Nob Hill,2007.0,38,19
531,Nob Hill,2008.0,143,28
532,Nob Hill,2009.0,143,19
533,Nob Hill,2010.0,25,12
534,Nob Hill,2011.0,62,25
535,Nob Hill,2012.0,64,19
536,Nob Hill,2013.0,80,18
537,Nob Hill,2014.0,63,17
538,Nob Hill,2015.0,43,19
539,Nob Hill,2016.0,55,23
540,Nob Hill,2017.0,37,10
541,Nob Hill,2018.0,50,23
542,Nob Hill,2019.0,30,11
543,Nob Hill,2020.0,2,1
544,North Beach,1956.0,47,12
545,North Beach,1969.0,2,2
546,North Beach,1972.0,2,2
547,North Beach,1973.0,2,2
548,North Beach,1974.0,2,2
549,North Beach,1978.0,3,2
550,North Beach,1980.0,8,4
551,North Beach,1981.0,1,1
552,North Beach,1982.0,2,2
553,North Beach,1983.0,23,5
554,North Beach,1984.0,1,1
555,North Beach,1985.0,5,4
556,North Beach,1986.0,5,4
557,North Beach,1987.0,22,8
558,North Beach,1988.0,22,11
559,North Beach,1989.0,6,5
560,North Beach,1990.0,30,14
561,North Beach,1991.0,9,8
562,North Beach,1992.0,14,9
563,North Beach,1993.0,37,13
564,North Beach,1994.0,5,5
565,North Beach,1995.0,54,27
566,North Beach,1996.0,33,16
567,North Beach,1997.0,44,19
568,North Beach,1998.0,15,10
569,North Beach,1999.0,28,14
570,North Beach,2000.0,29,14
571,North Beach,2001.0,33,8
572,North Beach,2002.0,41,12
573,North Beach,2003.0,10,8
574,North Beach,2004.0,6,5
575,North Beach,2005.0,17,9
576,North Beach,2006.0,44,18
577,North Beach,2007.0,10,7
578,North Beach,2008.0,25,17
579,North Beach,2009.0,23,10
580,North Beach,2010.0,9,7
581,North Beach,2011.0,20,14
582,North Beach,2012.0,11,8
583,North Beach,2013.0,25,14
584,North Beach,2014.0,14,8
585,North Beach,2015.0,61,23
586,North Beach,2016.0,97,19
587,North Beach,2017.0,20,11
588,North Beach,2018.0,23,11
589,North Beach,2019.0,14,11
590,North Beach,2020.0,10,4
591,Outer Richmond,1955.0,3,2
592,Outer Richmond,1969.0,3,2
593,Outer Richmond,1972.0,30,19
594,Outer Richmond,1973.0,35,12
595,Outer Richmond,1974.0,4,2
596,Outer Richmond,1976.0,1,1
597,Outer Richmond,1977.0,4,4
598,Outer Richmond,1978.0,3,2
599,Outer Richmond,1979.0,3,2
600,Outer Richmond,1980.0,3,3
601,Outer Richmond,1981.0,3,1
602,Outer Richmond,1982.0,42,11
603,Outer Richmond,1983.0,1,1
604,Outer Richmond,1984.0,17,9
605,Outer Richmond,1985.0,12,5
606,Outer Richmond,1986.0,44,22
607,Outer Richmond,1987.0,8,7
608,Outer Richmond,1988.0,3,3
609,Outer Richmond,1989.0,74,16
610,Outer Richmond,1990.0,15,13
611,Outer Richmond,1991.0,11,8
612,Outer Richmond,1992.0,76,25
613,Outer Richmond,1993.0,147,38
614,Outer Richmond,1994.0,69,17
615,Outer Richmond,1995.0,43,17
616,Outer Richmond,1996.0,78,32
617,Outer Richmond,1997.0,95,29
618,Outer Richmond,1998.0,83,26
619,Outer Richmond,1999.0,44,21
620,Outer Richmond,2000.0,134,37
621,Outer Richmond,2001.0,45,23
622,Outer Richmond,2002.0,133,42
623,Outer Richmond,2003.0,48,20
624,Outer Richmond,2004.0,43,21
625,Outer Richmond,2005.0,46,23
626,Outer Richmond,2006.0,37,19
627,Outer Richmond,2007.0,74,22
628,Outer Richmond,2008.0,176,57
629,Outer Richmond,2009.0,61,18
630,Outer Richmond,2010.0,44,18
631,Outer Richmond,2011.0,141,31
632,Outer Richmond,2012.0,20,13
633,Outer Richmond,2013.0,39,16
634,Outer Richmond,2014.0,54,22
635,Outer Richmond,2015.0,77,30
636,Outer Richmond,2016.0,71,26
637,Outer Richmond,2017.0,27,17
638,Outer Richmond,2018.0,129,30
639,Outer Richmond,2019.0,98,27
640,Outer Richmond,2020.0,75,21
641,Panhandle,1969.0,7,6
642,Panhandle,1972.0,43,19
643,Panhandle,1973.0,10,6
644,Panhandle,1974.0,18,11
645,Panhandle,1975.0,1,1
646,Panhandle,1976.0,3,3
647,Panhandle,1977.0,5,5
648,Panhandle,1978.0,8,7
649,Panhandle,1979.0,44,19
650,Panhandle,1980.0,9,8
651,Panhandle,1981.0,34,12
652,Panhandle,1982.0,13,5
653,Panhandle,1983.0,50,23
654,Panhandle,1984.0,9,6
655,Panhandle,1985.0,42,9
656,Panhandle,1986.0,66,13
657,Panhandle,1987.0,71,25
658,Panhandle,1988.0,66,20
659,Panhandle,1989.0,21,13
660,Panhandle,1990.0,44,15
661,Panhandle,1991.0,57,19
662,Panhandle,1992.0,120,32
663,Panhandle,1993.0,42,21
664,Panhandle,1994.0,56,25
665,Panhandle,1995.0,114,26
666,Panhandle,1996.0,91,30
667,Panhandle,1997.0,28,15
668,Panhandle,1998.0,93,32
669,Panhandle,1999.0,92,32
670,Panhandle,2000.0,90,36
671,Panhandle,2001.0,109,36
672,Panhandle,2002.0,98,28
673,Panhandle,2003.0,77,34
674,Panhandle,2004.0,68,28
675,Panhandle,2005.0,79,32
676,Panhandle,2006.0,42,16
677,Panhandle,2007.0,80,29
678,Panhandle,2008.0,192,48
679,Panhandle,2009.0,48,16
680,Panhandle,2010.0,53,29
681,Panhandle,2011.0,52,19
682,Panhandle,2012.0,33,14
683,Panhandle,2013.0,29,20
684,Panhandle,2014.0,68,29
685,Panhandle,2015.0,98,43
686,Panhandle,2016.0,87,44
687,Panhandle,2017.0,40,19
688,Panhandle,2018.0,34,22
689,Panhandle,2019.0,21,10
690,Portola,1956.0,1,1
691,Portola,1972.0,6,3
692,Portola,1977.0,3,2
693,Portola,1978.0,1,1
694,Portola,1987.0,16,3
695,Portola,1988.0,3,3
696,Portola,1989.0,2,2
697,Portola,1990.0,48,16
698,Portola,1991.0,3,2
699,Portola,1992.0,24,8
700,Portola,1993.0,29,16
701,Portola,1994.0,1,1
702,Portola,1995.0,21,9
703,Portola,1996.0,136,22
704,Portola,1997.0,5,5
705,Portola,1998.0,62,24
706,Portola,1999.0,156,25
707,Portola,2000.0,178,28
708,Portola,2001.0,66,18
709,Portola,2002.0,191,36
710,Portola,2003.0,179,27
711,Portola,2004.0,12,8
712,Portola,2005.0,75,19
713,Portola,2006.0,76,18
714,Portola,2007.0,52,26
715,Portola,2008.0,114,27
716,Portola,2009.0,52,22
717,Portola,2010.0,25,7
718,Portola,2011.0,9,7
719,Portola,2012.0,51,18
720,Portola,2013.0,45,17
721,Portola,2014.0,18,10
722,Portola,2015.0,34,20
723,Portola,2016.0,47,15
724,Portola,2017.0,10,8
725,Portola,2018.0,27,17
726,Portola,2019.0,7,5
727,Rincon Hill,1969.0,1,1
728,Rincon Hill,1974.0,1,1
729,Rincon Hill,1980.0,1,1
730,Rincon Hill,1981.0,1,1
731,Rincon Hill,1983.0,1,1
732,Rincon Hill,1984.0,1,1
733,Rincon Hill,1986.0,3,2
734,Rincon Hill,1988.0,1,1
735,Rincon Hill,1989.0,1,1
736,Rincon Hill,1990.0,2,2
737,Rincon Hill,1991.0,4,2
738,Rincon Hill,1992.0,4,2
739,Rincon Hill,1993.0,3,1
740,Rincon Hill,1994.0,1,1
741,Rincon Hill,1995.0,3,1
742,Rincon Hill,1996.0,25,6
743,Rincon Hill,1997.0,32,5
744,Rincon Hill,1998.0,22,4
745,Rincon Hill,1999.0,20,1
746,Rincon Hill,2000.0,46,8
747,Rincon Hill,2001.0,66,7
748,Rincon Hill,2002.0,46,7
749,Rincon Hill,2003.0,73,9
750,Rincon Hill,2004.0,16,4
751,Rincon Hill,2005.0,43,6
752,Rincon Hill,2006.0,28,6
753,Rincon Hill,2007.0,16,4
754,Rincon Hill,2008.0,7,3
755,Rincon Hill,2009.0,3,2
756,Rincon Hill,2010.0,12,3
757,Rincon Hill,2011.0,2,2
758,Rincon Hill,2012.0,24,6
759,Rincon Hill,2013.0,8,3
760,Rincon Hill,2014.0,26,9
761,Rincon Hill,2015.0,59,10
762,Rincon Hill,2016.0,25,9
763,Rincon Hill,2017.0,17,4
764,Rincon Hill,2018.0,3,2
765,Rincon Hill,2019.0,19,5
766,SoMa,1974.0,2,2
767,SoMa,1976.0,9,4
768,SoMa,1977.0,3,3
769,SoMa,1978.0,5,3
770,SoMa,1980.0,4,4
771,SoMa,1981.0,9,6
772,SoMa,1982.0,6,6
773,SoMa,1983.0,5,5
774,SoMa,1984.0,21,3
775,SoMa,1985.0,12,5
776,SoMa,1986.0,4,4
777,SoMa,1987.0,4,4
778,SoMa,1988.0,2,2
779,SoMa,1989.0,10,6
780,SoMa,1990.0,10,6
781,SoMa,1991.0,21,12
782,SoMa,1992.0,9,9
783,SoMa,1993.0,31,8
784,SoMa,1994.0,62,19
785,SoMa,1995.0,210,44
786,SoMa,1996.0,84,18
787,SoMa,1997.0,35,12
788,SoMa,1998.0,181,37
789,SoMa,1999.0,103,19
790,SoMa,2000.0,156,42
791,SoMa,2001.0,24,12
792,SoMa,2002.0,146,23
793,SoMa,2003.0,147,29
794,SoMa,2004.0,106,28
795,SoMa,2005.0,137,30
796,SoMa,2006.0,94,16
797,SoMa,2007.0,364,29
798,SoMa,2008.0,191,39
799,SoMa,2009.0,148,41
800,SoMa,2010.0,25,10
801,SoMa,2011.0,78,28
802,SoMa,2012.0,68,21
803,SoMa,2013.0,23,11
804,SoMa,2014.0,80,28
805,SoMa,2015.0,133,36
806,SoMa,2016.0,92,25
807,SoMa,2017.0,135,28
808,SoMa,2018.0,40,17
809,SoMa,2019.0,25,12
810,South Beach,1955.0,1,1
811,South Beach,1956.0,15,7
