year,neighborhood,most_popular_species,species_count
1996,Outer Richmond, Australian Tea Tree,12
1996,Panhandle, American Sweet Gum,11
1996,Portola, Australian Tea Tree,27
1996,Rincon Hill, Brisbane Box,7
1996,SoMa, American Sweet Gum,14
1996,South Beach, American Sweet Gum,19
1996,Sunset, African Sumac,21
1996,Taraval, Bailey's Acacia,13
1996,Tenderloin, American Sweet Gum,13
1996,Twin Peaks, Cajeput,2
1997,Bayshore, American Elm,15
1997,Bayview, Aristocrat Callery Pear,58
1997,Castro, American Sweet Gum,5
1997,Chinatown, Indian Laurel Fig Tree 'Green Gem',1
1997,Financial District, Evergreen Pear,1
1997,Ingleside, Brisbane Box,108
1997,Inner Richmond, Blackwood Acacia,8
1997,Lake Merced, Cajeput,2
1997,Lower Pacific Heights, Blackwood Acacia,15
1997,Marina, Birch,7
1997,Mission, American Sweet Gum,36
1997,Nob Hill, Brisbane Box,15
1997,North Beach, Australian Willow,8
1997,Outer Richmond, Australian Tea Tree,13
1997,Panhandle, Australian Willow,6
1997,Portola, Cherry Plum,1
1997,Rincon Hill, Brazilian Pepper,15
1997,SoMa, Brisbane Box,10
1997,South Beach, American Sweet Gum,32
1997,Sunset, Bailey's Acacia,12
1997,Taraval, Hybrid Strawberry Tree,3
1997,Tenderloin, Blackwood Acacia,11
1997,Twin Peaks, Australian Tea Tree,15
1998,Bayshore, American Elm,33
1998,Bayview, American Sweet Gum,50
1998,Castro, American Sweet Gum,37
1998,Chinatown, Aristocrat Callery Pear,5
1998,Financial District, Brisbane Box,8
1998,Ingleside, Angel trumpet,80
1998,Inner Richmond, American Sweet Gum,20
1998,Lake Merced, Blackwood Acacia,27
1998,Lower Pacific Heights, American Sweet Gum,8
1998,Marina, Bailey's Acacia,7
1998,Mission, American Elm,115
1998,Nob Hill, American Sweet Gum,22
1998,North Beach, Brisbane Box,4
1998,Outer Richmond, Bailey's Acacia,15
1998,Panhandle, American Sweet Gum,12
1998,Portola, American Sweet Gum,10
1998,Rincon Hill, American Sweet Gum,9
1998,SoMa, American Sweet Gum,19
1998,South Beach, American Sweet Gum,25
1998,Sunset, Australian Tea Tree,24
1998,Taraval, American Sweet Gum,11
1998,Tenderloin, Bailey's Acacia,41
1998,Twin Peaks, American Sweet Gum,18
1999,Bayshore, Bailey's Acacia,22
1999,Bayview, Bailey's Acacia,21
1999,Castro, Amur Maple,8
1999,Chinatown, Brisbane Box,2
1999,Financial District, Indian Laurel Fig Tree 'Green Gem',3
1999,Ingleside, Aristocrat Callery Pear,24
1999,Inner Richmond, Australian Willow,12
1999,Lake Merced, Australian Tea Tree,3
1999,Lower Pacific Heights, Bailey's Acacia,18
1999,Marina, Blackwood Acacia,5
1999,Mission, American Sweet Gum,27
1999,Nob Hill, Ash Spp,13
1999,North Beach, American Sweet Gum,6
1999,Outer Richmond, Aristocrat Callery Pear,7
1999,Panhandle, American Sweet Gum,17
1999,Portola, Bailey's Acacia,46
1999,Rincon Hill, Ornamental Pear,20
1999,SoMa, Ash Spp,18
1999,South Beach, Brisbane Box,61
1999,Sunset, Australian Tea Tree,3
1999,Taraval, Brisbane Box,18
1999,Tenderloin, Black Locust,7
1999,Twin Peaks, American Sweet Gum,8
2000,Bayshore, American Elm,37
2000,Bayview, Bailey's Acacia,17
2000,Castro, African Sumac,32
2000,Chinatown, Cherry Plum,10
2000,Financial District, Ash Spp,58
2000,Ingleside, Aristocrat Callery Pear,45
2000,Inner Richmond, American Sweet Gum,24
2000,Lake Merced, Bailey's Acacia,24
2000,Lower Pacific Heights, American Sweet Gum,8
2000,Marina, Avocado,8
2000,Mission, Bailey's Acacia,36
2000,Nob Hill, American Sweet Gum,14
2000,North Beach, Cajeput,7
2000,Outer Richmond, American Sweet Gum,18
2000,Panhandle, American Sweet Gum,19
2000,Portola, Bailey's Acacia,40
2000,Rincon Hill, Blackwood Acacia,14
2000,SoMa, Ash,13
2000,South Beach, Armstrong Red Maple,36
2000,Sunset, Australian Tea Tree,14
2000,Taraval, Bailey's Acacia,37
2000,Tenderloin, Ash Spp,24
2000,Twin Peaks, Ash Spp,19
2001,Bayshore, Bailey's Acacia,53
2001,Bayview, American Sweet Gum,7
2001,Castro, Bailey's Acacia,4
2001,Chinatown, Evergreen Pear,1
2001,Financial District, Canary Island Date Palm,50
